Nombre,Direccion,Ciudad,Pais,Precio,Tipos_Cocina,Ideales,Valoracion
Mar de Esteiro,Lugar Ponte Sionlla; Santiago de Compostela; 15884; España,Santiago de Compostela,España,1,Pescados y mariscos,Familiar;Cocina local,0
Le Bistró,Carretera Pancar; Llanes; 33500; España,Llanes,España,1,Tradicional,Cocina local,0
L'Algadir del Delta,Ronda dels Pins 27; Amposta; 43549; España,Amposta,España,1,Tradicional; Creativa,Cocina local,0
La Cartería,Camino Real 49; Cartes; 39311; España,Cartes,España,1,Tradicional; Moderna,Un clásico,0
El Recetario,Trinidad 1; Gijón; 33201; España,Gijón,España,1,Actual,Cocina local;Familiar,0
Farragua,Contracay 3; Gijón; 33201; España,Gijón,España,1,Moderna,Romántico,0
Pementa Rosa,Reus 1; Carballo; 15100; España,Carballo,España,1,Actual,,0
Villa de Oro,Areal 5; Camariñas; 15123; España,Camariñas,España,1,Tradicional,Cocina local,0
Terreo Cocina Casual,San Andrés 109; A Coruña; 15003; España,A Coruña,España,1,Actual,Un clásico;Grupos,0
Arteaga Landetxea,Garagartza Auzoa 37; Mondragón; 20500; España,Mondragón,España,0,Vasca,Terraza agradable,0
El de Alberto,Comandante Fontanes 1; A Coruña; 15003; España,A Coruña,España,1,Moderna,Merece la espera,0
Taberna 5 Mares,Parque Monte San Pedro; A Coruña; 15011; España,A Coruña,España,1,Actual; Gallega,Familiar;Cocina local,0
Pan de Cuco,Barrio Calabazas 17; Suesa; 39150; España,Suesa,España,1,Cocina de mercado; Regional,Grupos;Cocina local,0
Agua Salada,San Simón 2; Santander; 39003; España,Santander,España,1,Actual; Tradicional,Romántico,0
Kimtxu,Henao 17; Bilbao; 48009; España,Bilbao,España,1,Fusión,,0
Los Fueros,De los Fueros 6; Bilbao; 48005; España,Bilbao,España,1,Vasca,Cocina local,0
AL Margen,Muelle Urazurrutia 2; Bilbao; 48003; España,Bilbao,España,1,Tradicional,,0
El Merca'o,Tafalla 5 - 7; Pamplona; 31004; España,Pamplona,España,1,Tradicional,Familiar,0
Iwasaki,Iturribide 13; Getxo; 48993; España,Getxo,España,1,Japonesa,Familiar,0
El Origen,Plaza Justicia 4; Huesca; 22001; España,Huesca,España,0,Tradicional,Terraza agradable;Productos locales,0
Maskarada,Aralar 66; Lekunberri; 31870; España,Lekunberri,España,0,Cocina especializada en cerdo; Regional,Productos locales,0
Origen,Carretera N 135; Urdaitz; 31698; España,Urdaitz,España,0,Actual,Familiar,0
Brots,Nou 45; Poboleda; 43376; España,Poboleda,España,1,Moderna; Europea tradicional,,0
Masta,Azara 1; Zarautz; 20800; España,Zarautz,España,1,Actual,Merece la espera;Cocina local,0
Carmen,Avenida de Nuestra Señora del Pilar 3; Binéfar; 22500; España,Binéfar,España,1,Cocina de temporada; Cocina de mercado,,0
Donamaria'ko Benta,Barrio de la Venta 4; Donamaria; 31750; España,Donamaria,España,1,Tradicional,Cocina local,0
Sisè,Avinguda de l'Estudi General 27; Lleida; 25001; España,Lleida,España,1,Actual,,0
La Oveja Negra,Oncinellas 5; Barbastro; 22300; España,Barbastro,España,1,Actual,,0
Aimia,Doctor Combelles 67; Lleida; 25003; España,Lleida,España,1,Moderna,Romántico,0
Antoni Rubies,Lleida 6; Artesa de Lleida; 25150; España,Artesa de Lleida,España,0,Arroces,Cocina local,0
Arotxa,Santa Catalina 34; Legasa; 31792; España,Legasa,España,1,Tradicional,Grupos,0
Canteré,Aire 1; Hecho; 22720; España,Hecho,España,1,Tradicional; Creativa,Productos locales,0
La Xarxa,de Sant Pere 38; Tarragona; 43004; España,Tarragona,España,1,Actual; Arroces,,0
La Cuchara de Ruba,Esperanza 18; Biescas; 22630; España,Biescas,España,0,Tradicional,,0
Etchemaite,30 Etxarteko bidea (Le Bourg); Larrau; 64560; Francia,Larrau,Francia,1,Tradicional,Familiar;Productos locales,0
Jarapea,94 rue du Fronton; Irouléguy; 64220; Francia,Irouléguy,Francia,1,Moderna,Terraza agradable;Productos locales,0
Lavedán,Navero 19; Tramacastilla de Tena; 22663; España,Tramacastilla de Tena,España,1,Regional; Actual,Cocina local,0
Art'zain,20 place d'Ospitalia (Le bourg); Irissarry; 64780; Francia,Irissarry,Francia,1,Cocina de mercado,Productos locales,0
Briket' Bistrot,142 rue de l'Église; Guéthary; 64210; Francia,Guéthary,Francia,1,Tradicional,Terraza agradable,0
AHPĒ,34 avenue du Président-John-Fitzgerald-Kennedy; Biarritz; 64200; Francia,Biarritz,Francia,1,Moderna,Productos locales,0
Léonie,7 avenue de Larochefoucault; Biarritz; 64200; Francia,Biarritz,Francia,1,Moderna,Productos locales,0
Hostal Colomí,Raval de Jesús 10; Santa Coloma de Queralt; 43420; España,Santa Coloma de Queralt,España,1,Tradicional; A la Parrilla,,0
Casa Chongastán,Carretera s/n; Chía; 22465; España,Chía,España,1,Cocina de temporada; Tradicional,Productos locales,0
Lo Ponts,Carretera de Calaf 6; Ponts; 25740; España,Ponts,España,0,Catalana,,0
El Cigró d'Or,Plaça de l'Oli 1; Vilafranca del Penedès; 08720; España,Vilafranca del Penedès,España,0,Regional,Familiar;Cocina local,0
Le Gantxo,130 chemin du Trinquet; Guiche; 64520; Francia,Guiche,Francia,1,Moderna,Productos locales;Favorito del inspector,0
Au Fond du Gosier,7 rue du Capitaine-Digoy; Argelès-Gazost; 65400; Francia,Argelès-Gazost,Francia,1,Moderna,Productos locales,0
Ca'n Boqueta,Avenida de la Gran Via 43; Sóller; 07100; España,Sóller,España,1,Regional; Moderna,,0
La Cava d'en Sergi,València 17; Sant Sadurní d'Anoia; 08770; España,Sant Sadurní d'Anoia,España,0,Tradicional,,0
El Raier,Avenida de Madrid 3; La Pobla de Segur; 25500; España,La Pobla de Segur,España,1,Actual,Comer solo,0
Auberge des Aryelets,Place du Village; Aulon; 65240; Francia,Aulon,Francia,1,Moderna,Productos locales,0
L'Auberge du Pas de Vent,281 avenue Pas-de-Vent; Pouillon; 40350; Francia,Pouillon,Francia,1,Tradicional,Familiar;Productos locales,0
Omnivore,1 place Gramont; Pau; 64000; Francia,Pau,Francia,1,Moderna,,0
Jumo & Co,6 rue Henri-IV; Pau; 64000; Francia,Pau,Francia,0,Moderna,,0
Miceli,Àngels 11; Selva; 07313; España,Selva,España,1,Tradicional,Terraza agradable;Cocina local,0
